category,count,source,report_updated,status
indexed,115,GSC Page Indexing snapshot,2026-09-04,
not_indexed,17,GSC Page Indexing snapshot,2026-09-04,
known_urls,132,GSC Page Indexing snapshot,2026-09-04,
noindex,14,GSC Page Indexing snapshot,2026-09-04,
redirect,3,GSC Page Indexing snapshot,2026-09-04,
discovered_not_indexed,0,GSC Page Indexing snapshot,2026-09-04,
crawled_not_indexed,0,GSC Page Indexing snapshot,2026-09-04,
sitemap_last_downloaded,null,GSC Sitemaps API readback,2026-09-17T16:46:33.964Z,pending
sitemap_status,registered_pending,GSC Sitemaps API/UI,2026-09-17T16:46:33.965Z,PASS
sitemap_discovered_urls,0,GSC Sitemaps API/UI,2026-09-17T16:46:33.965Z,
